Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Eastlands,No,Sunday,Very Convenient,Less than 10 minutes,2-3 times,NA,8,4,4,1,4,A little cool,Strongly agree,8,7,No,Yes,4,7,0,8,Yes,Yes,Josiah Cox,Josiah.Cox@bigpond.net.au
Launceston,Yes,Thursday,Inconvient,Less than 1 hour,4-6 times,NA,3,10,9,6,2,Way too hot,Neither agree nor disagree,1,9,No,Yes,2,3,6,5,Yes,Yes,Benjamin Brown,Benjamin.Brown@yahoo.com.au
Rosebud,Yes,Tuesday,Indifferent,More than 1 hour,4-6 times,NA,3,4,7,4,7,Just right,Neither agree nor disagree,1,8,Yes,Yes,0,5,6,4,Yes,Yes,Brooklyn Myers,Brooklyn.Myers@bigpond.net.au
Karingal,Yes,Thursday,Convenient,Less than 30 minutes,4-6 times,Yes,6,5,0,3,4,A little cool,Strongly disagree,7,1,Yes,No,NA,NA,NA,5,Yes,Yes,Isaac Torres,Isaac.Torres@msn.com
Karingal,No,Tuesday,Very Convenient,Less than 1 hour,Once,Yes,4,9,0,9,0,Just right,Disagree,3,0,No,No,NA,NA,NA,8,No,Yes,Lucas Morales,Lucas.Morales@gmail.com
Coburg Drive-In,No,Monday,Very Inconvenient,Less than 10 minutes,2-3 times,NA,1,3,9,2,7,A little warm,Disagree,8,9,Yes,No,NA,NA,NA,9,Yes,Yes,Matthew Davis,Matthew.Davis@bigpond.com
Glenorchy,No,Tuesday,Inconvient,Less than 1 hour,More than 6 times,NA,9,9,9,9,8,Way too hot,Strongly agree,7,5,No,Yes,8,3,8,2,Yes,No,NA,NA
Morwell,Yes,Thursday,Very Convenient,Less than 10 minutes,More than 6 times,NA,4,4,4,3,3,A little warm,Strongly agree,6,3,Yes,No,NA,NA,NA,4,Yes,Yes,Zoe Sanders,Zoe.Sanders@gmail.com
Hobart,Yes,Wednesday,Very Inconvenient,More than 1 hour,More than 6 times,Yes,3,0,3,1,5,A little warm,Strongly disagree,3,8,No,No,NA,NA,NA,3,Yes,Yes,Elijah Carter,Elijah.Carter@gmail.com
Morwell,Yes,Friday,Inconvient,Less than 30 minutes,More than 6 times,NA,9,5,2,0,10,A little cool,Neither agree nor disagree,6,9,No,Yes,2,1,2,4,No,Yes,Layla Collins,Layla.Collins@outlook.com
Eastlands,Yes,Monday,Indifferent,Less than 30 minutes,Once,NA,7,1,4,3,3,Way too cold,Strongly disagree,9,4,Yes,No,NA,NA,NA,9,Yes,Yes,Ethan Perez,Ethan.Perez@mail.com
Coburg Drive-In,Yes,Saturday,Inconvient,Less than 30 minutes,2-3 times,NA,7,9,7,7,4,Way too cold,Strongly disagree,5,10,No,No,NA,NA,NA,10,No,No,NA,NA
Jam Factory,No,Saturday,Very Inconvenient,Less than 30 minutes,2-3 times,Yes,1,7,10,1,3,Just right,Neither agree nor disagree,9,3,Yes,No,NA,NA,NA,8,Yes,Yes,Camilla Zhang,Camilla.Zhang@gmail.com
Morwell,Yes,Saturday,Indifferent,Less than 1 hour,Once,NA,0,6,7,9,10,Just right,Strongly agree,7,5,Yes,No,NA,NA,NA,8,Yes,Yes,Sarah Green,Sarah.Green@msn.com
Coburg Drive-In,No,Friday,Convenient,Less than 10 minutes,Once,NA,10,10,10,10,5,A little warm,Disagree,0,0,Yes,Yes,2,9,0,5,Yes,No,NA,NA
Shepparton,Yes,Sunday,Very Inconvenient,Less than 30 minutes,2-3 times,NA,6,6,7,3,0,A little cool,Neither agree nor disagree,3,7,Yes,Yes,8,8,2,2,No,Yes,Sophia Stewart,Sophia.Stewart@msn.com
Werribee,No,Wednesday,Indifferent,Less than 10 minutes,4-6 times,No,1,6,3,0,6,A little warm,Neither agree nor disagree,5,1,Yes,Yes,10,7,8,0,No,Yes,Aiden Lee,Aiden.Lee@hotmail.com
Sunshine,Yes,Sunday,Very Convenient,Less than 10 minutes,Once,No,8,7,10,9,5,Way too cold,Disagree,8,4,Yes,Yes,3,3,1,5,Yes,Yes,Olivia Watson,Olivia.Watson@bigpond.com
Launceston,No,Sunday,Indifferent,Less than 1 hour,Once,NA,5,2,8,5,4,Way too cold,Strongly agree,8,5,Yes,Yes,4,2,6,2,No,No,NA,NA
Karingal,No,Wednesday,Inconvient,Less than 1 hour,4-6 times,No,8,0,6,5,2,Way too cold,Strongly agree,1,7,No,No,NA,NA,NA,3,No,No,NA,NA
Airport West,Yes,Saturday,Very Convenient,Less than 1 hour,2-3 times,NA,6,6,3,8,8,Way too hot,Agree,0,9,No,No,NA,NA,NA,7,No,Yes,Paisley Campbell,Paisley.Campbell@live.com.au
Doncaster,No,Tuesday,Very Convenient,Less than 10 minutes,More than 6 times,No,10,7,7,8,3,Way too hot,Agree,4,4,Yes,No,NA,NA,NA,3,No,Yes,Michael Williams,Michael.Williams@mailinator.com
Shepparton,No,Thursday,Indifferent,More than 1 hour,Once,NA,10,7,3,9,0,A little cool,Strongly disagree,2,4,No,Yes,9,6,2,8,Yes,Yes,Jackson Bennett,Jackson.Bennett@bigpond.com
Hobart,Yes,Tuesday,Very Inconvenient,Less than 30 minutes,4-6 times,No,4,0,5,8,8,A little cool,Disagree,6,4,No,Yes,7,3,0,7,Yes,Yes,Nicholas Rogers,Nicholas.Rogers@mail.com
Knox,No,Saturday,Very Convenient,Less than 30 minutes,2-3 times,No,5,1,6,5,7,Way too cold,Strongly agree,4,5,Yes,Yes,10,9,2,9,Yes,Yes,Gabriel Brown,Gabriel.Brown@mail.com
Doncaster,Yes,Friday,Very Convenient,Less than 30 minutes,Once,No,10,10,8,3,4,Just right,Strongly disagree,7,5,Yes,Yes,8,6,1,6,No,Yes,Jayden Myers,Jayden.Myers@live.com.au
Werribee,No,Sunday,Inconvient,Less than 30 minutes,4-6 times,No,1,9,5,7,7,A little cool,Agree,5,10,Yes,No,NA,NA,NA,6,No,No,NA,NA
Karingal,No,Thursday,Convenient,Less than 30 minutes,4-6 times,No,1,9,8,3,2,Just right,Neither agree nor disagree,2,0,No,Yes,0,7,6,8,Yes,No,NA,NA
Eastlands,No,Friday,Indifferent,Less than 30 minutes,Once,NA,7,4,2,9,2,Way too cold,Strongly disagree,0,2,Yes,No,NA,NA,NA,8,Yes,No,NA,NA
Coburg Drive-In,Yes,Friday,Inconvient,More than 1 hour,2-3 times,NA,6,1,4,1,10,Just right,Neither agree nor disagree,3,4,No,Yes,6,3,10,6,Yes,Yes,Ethan Johnson,Ethan.Johnson@yahoo.com.au
Eastlands,Yes,Wednesday,Very Convenient,Less than 1 hour,Once,NA,7,1,9,0,6,A little cool,Strongly disagree,10,4,No,No,NA,NA,NA,7,Yes,No,NA,NA
Jam Factory,No,Tuesday,Indifferent,Less than 30 minutes,More than 6 times,Yes,9,10,8,1,3,Way too cold,Strongly agree,6,10,No,Yes,9,2,1,3,Yes,No,NA,NA
Albury,No,Thursday,Inconvient,More than 1 hour,2-3 times,No,7,2,7,2,4,Way too cold,Disagree,7,6,Yes,Yes,10,5,5,2,No,No,NA,NA
Geelong,No,Friday,Inconvient,More than 1 hour,Once,Yes,5,6,8,9,7,Way too cold,Agree,2,1,No,Yes,10,1,8,3,No,No,NA,NA
Doncaster,No,Tuesday,Convenient,Less than 1 hour,More than 6 times,Yes,4,8,3,9,2,Way too hot,Agree,3,5,No,No,NA,NA,NA,7,No,No,NA,NA
Airport West,Yes,Thursday,Very Convenient,Less than 10 minutes,Once,NA,5,6,2,5,1,A little cool,Neither agree nor disagree,9,10,No,Yes,9,1,3,10,Yes,Yes,Muhammad Williams,Muhammad.Williams@yahoo.com.au
Fountain Gate,Yes,Monday,Inconvient,Less than 10 minutes,Once,Yes,7,6,2,10,6,Just right,Strongly agree,5,10,Yes,No,NA,NA,NA,9,Yes,No,NA,NA
Morwell,Yes,Saturday,Very Inconvenient,More than 1 hour,Once,NA,10,9,9,6,8,A little warm,Neither agree nor disagree,7,3,Yes,Yes,9,4,7,0,No,Yes,Isabelle Wood,Isabelle.Wood@optusnet.com.au
Sunshine,No,Monday,Indifferent,Less than 30 minutes,2-3 times,No,9,10,0,3,6,A little cool,Strongly agree,1,7,No,No,NA,NA,NA,5,Yes,No,NA,NA
Karingal,Yes,Saturday,Very Inconvenient,Less than 30 minutes,More than 6 times,No,6,0,0,2,10,Way too cold,Agree,4,7,Yes,Yes,0,4,8,3,No,No,NA,NA
Coburg Drive-In,No,Thursday,Inconvient,More than 1 hour,4-6 times,NA,5,0,1,4,6,Just right,Strongly disagree,2,5,Yes,No,NA,NA,NA,6,No,No,NA,NA
Bendigo,No,Monday,Very Inconvenient,Less than 30 minutes,Once,Yes,5,6,1,5,2,Just right,Agree,5,10,Yes,No,NA,NA,NA,6,Yes,Yes,Liam Bailey,Liam.Bailey@bigpond.net.au
Launceston,No,Saturday,Very Convenient,Less than 1 hour,Once,NA,6,5,4,1,8,Just right,Agree,4,8,No,No,NA,NA,NA,3,No,Yes,Madelyn Davis,Madelyn.Davis@mail.com
Karingal,Yes,Monday,Inconvient,Less than 1 hour,More than 6 times,Yes,4,0,4,8,6,A little warm,Agree,0,3,Yes,Yes,4,3,10,0,Yes,No,NA,NA
Shepparton,No,Sunday,Indifferent,Less than 30 minutes,2-3 times,NA,4,8,7,3,9,Just right,Disagree,1,2,Yes,Yes,4,9,10,3,No,No,NA,NA
Fountain Gate,Yes,Tuesday,Indifferent,More than 1 hour,4-6 times,Yes,5,10,6,10,2,Way too hot,Agree,1,1,Yes,Yes,2,2,8,3,No,No,NA,NA
Southland,Yes,Friday,Very Inconvenient,More than 1 hour,4-6 times,Yes,0,3,3,2,9,Way too cold,Agree,5,4,No,Yes,6,8,8,3,Yes,Yes,Mason Johnson,Mason.Johnson@bigpond.com
Warnambool,Yes,Wednesday,Inconvient,Less than 30 minutes,More than 6 times,NA,6,0,1,7,7,Way too hot,Strongly agree,2,8,No,Yes,3,7,3,5,Yes,No,NA,NA
Sunshine,No,Tuesday,Very Inconvenient,Less than 30 minutes,4-6 times,No,9,0,6,2,7,Just right,Neither agree nor disagree,5,2,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Eastlands,No,Thursday,Inconvient,Less than 1 hour,4-6 times,NA,3,6,7,10,5,A little warm,Strongly disagree,3,1,No,Yes,1,5,6,9,Yes,No,NA,NA
Plenty Valley,No,Saturday,Inconvient,Less than 10 minutes,More than 6 times,No,0,10,3,9,4,A little warm,Agree,1,2,No,No,NA,NA,NA,8,Yes,No,NA,NA
Crown,Yes,Friday,Convenient,Less than 30 minutes,2-3 times,Yes,9,3,1,6,5,Just right,Agree,7,2,Yes,Yes,8,9,9,4,Yes,Yes,John Lopez,John.Lopez@outlook.com
Knox,Yes,Tuesday,Inconvient,Less than 1 hour,More than 6 times,No,4,5,4,2,6,Way too cold,Strongly agree,4,8,Yes,No,NA,NA,NA,4,Yes,No,NA,NA
Morwell,No,Thursday,Indifferent,Less than 10 minutes,More than 6 times,NA,0,4,8,7,2,Way too cold,Disagree,7,5,Yes,Yes,0,2,9,9,No,Yes,Aiden Price,Aiden.Price@mailinator.com
Shepparton,No,Wednesday,Very Inconvenient,Less than 1 hour,2-3 times,NA,1,0,7,9,1,Way too cold,Disagree,10,1,Yes,No,NA,NA,NA,8,Yes,No,NA,NA
Sunshine,No,Monday,Convenient,Less than 30 minutes,4-6 times,Yes,8,3,10,4,0,Way too cold,Strongly agree,0,3,No,No,NA,NA,NA,3,Yes,Yes,Cameron Murphy,Cameron.Murphy@hotmail.com
Plenty Valley,No,Saturday,Very Inconvenient,More than 1 hour,More than 6 times,No,9,5,6,1,10,Way too hot,Strongly disagree,10,6,No,No,NA,NA,NA,0,Yes,No,NA,NA
Airport West,Yes,Saturday,Indifferent,Less than 10 minutes,2-3 times,NA,6,7,2,9,7,Just right,Strongly agree,9,0,Yes,No,NA,NA,NA,10,No,No,NA,NA
Sorrento,No,Thursday,Very Convenient,Less than 30 minutes,4-6 times,NA,6,6,2,2,2,A little cool,Strongly disagree,3,5,No,Yes,0,1,6,4,Yes,No,NA,NA
Rivoli,No,Thursday,Very Convenient,Less than 1 hour,2-3 times,No,7,2,6,1,9,Way too cold,Disagree,7,3,Yes,No,NA,NA,NA,6,Yes,Yes,Luke Cruz,Luke.Cruz@gmail.com
Hobart,Yes,Saturday,Very Inconvenient,Less than 1 hour,More than 6 times,Yes,2,3,5,6,3,Just right,Disagree,0,5,Yes,Yes,2,1,9,0,Yes,No,NA,NA
Eastlands,No,Thursday,Very Inconvenient,Less than 30 minutes,Once,NA,3,4,2,6,5,Just right,Agree,7,1,Yes,No,NA,NA,NA,9,No,Yes,Ryan Long,Ryan.Long@mail.com
Bendigo,No,Wednesday,Very Convenient,Less than 1 hour,More than 6 times,Yes,10,4,7,4,8,Just right,Strongly disagree,2,10,No,Yes,1,0,5,8,Yes,Yes,Nora Peterson,Nora.Peterson@msn.com
Launceston,No,Saturday,Convenient,More than 1 hour,Once,NA,8,4,9,2,9,A little warm,Neither agree nor disagree,5,2,Yes,Yes,8,0,5,1,No,No,NA,NA
Century City,Yes,Tuesday,Convenient,Less than 10 minutes,2-3 times,Yes,4,6,1,2,8,Just right,Neither agree nor disagree,5,5,Yes,No,NA,NA,NA,0,No,No,NA,NA
Plenty Valley,No,Sunday,Very Convenient,Less than 1 hour,More than 6 times,No,0,1,4,3,10,A little warm,Strongly disagree,7,4,Yes,No,NA,NA,NA,6,No,Yes,Connor Turner,Connor.Turner@mailinator.com
Warragul,No,Monday,Very Convenient,More than 1 hour,Once,NA,10,2,1,9,7,Way too cold,Strongly disagree,4,9,No,Yes,2,6,4,3,No,Yes,Leah Butler,Leah.Butler@outlook.com
Morwell,Yes,Saturday,Very Inconvenient,Less than 30 minutes,Once,NA,2,2,8,6,8,Way too hot,Agree,6,0,No,Yes,5,7,4,5,Yes,Yes,Victoria Johnson,Victoria.Johnson@outlook.com
Shepparton,Yes,Tuesday,Very Convenient,Less than 10 minutes,More than 6 times,NA,5,2,0,6,5,Just right,Agree,6,9,Yes,Yes,10,0,4,6,No,No,NA,NA
Geelong,No,Friday,Convenient,Less than 30 minutes,Once,Yes,10,9,10,9,7,A little cool,Disagree,9,6,Yes,Yes,6,4,2,6,Yes,Yes,Maya Edwards,Maya.Edwards@bigpond.com
Albury,No,Tuesday,Inconvient,Less than 10 minutes,4-6 times,No,1,2,7,1,9,A little warm,Strongly agree,4,10,No,No,NA,NA,NA,6,No,No,NA,NA
Rivoli,No,Monday,Very Inconvenient,Less than 1 hour,Once,No,3,8,8,9,1,A little warm,Disagree,6,2,Yes,Yes,2,6,7,6,No,No,NA,NA
Albury,No,Friday,Convenient,Less than 10 minutes,More than 6 times,Yes,3,3,9,5,4,Way too cold,Agree,5,2,No,No,NA,NA,NA,7,No,Yes,Jack King,Jack.King@bigpond.com
Albury,Yes,Tuesday,Indifferent,Less than 10 minutes,Once,Yes,2,9,4,4,10,Way too hot,Agree,10,7,No,Yes,0,2,7,10,Yes,Yes,Aubrey Brooks,Aubrey.Brooks@bigpond.com
Jam Factory,No,Monday,Very Convenient,Less than 10 minutes,2-3 times,No,7,7,7,8,2,A little warm,Agree,3,1,Yes,Yes,0,6,2,8,No,Yes,Brooklyn Parker,Brooklyn.Parker@msn.com
Southland,No,Monday,Very Convenient,Less than 30 minutes,Once,No,6,4,10,0,0,Just right,Strongly disagree,5,6,Yes,No,NA,NA,NA,3,No,No,NA,NA
Doncaster,No,Wednesday,Convenient,More than 1 hour,2-3 times,Yes,0,10,1,4,8,A little cool,Neither agree nor disagree,6,0,Yes,Yes,7,1,1,5,No,Yes,Mia Turner,Mia.Turner@bigpond.net.au
Werribee,Yes,Sunday,Very Convenient,Less than 30 minutes,Once,Yes,2,8,0,10,9,A little cool,Agree,2,8,Yes,Yes,1,9,10,8,No,No,NA,NA
Launceston,Yes,Thursday,Indifferent,Less than 10 minutes,Once,NA,8,7,10,5,3,A little warm,Strongly disagree,6,2,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Werribee,Yes,Sunday,Very Inconvenient,More than 1 hour,4-6 times,No,1,4,8,1,4,Just right,Strongly agree,2,1,Yes,No,NA,NA,NA,0,Yes,No,NA,NA
Warragul,No,Tuesday,Inconvient,More than 1 hour,Once,NA,8,2,5,10,7,Way too cold,Strongly disagree,1,3,No,Yes,7,10,8,1,No,No,NA,NA
Rivoli,No,Thursday,Very Inconvenient,Less than 1 hour,2-3 times,Yes,3,3,4,4,7,Way too hot,Strongly agree,1,8,Yes,No,NA,NA,NA,9,Yes,Yes,Aubrey Carter,Aubrey.Carter@mail.com
Jam Factory,No,Saturday,Very Inconvenient,Less than 30 minutes,2-3 times,Yes,9,0,10,8,8,Just right,Agree,1,3,Yes,Yes,2,1,4,3,Yes,No,NA,NA
Launceston,No,Wednesday,Indifferent,More than 1 hour,More than 6 times,NA,1,2,3,1,1,Way too hot,Strongly agree,0,1,No,No,NA,NA,NA,8,No,Yes,Nicholas Flores,Nicholas.Flores@yahoo.com.au
Glenorchy,Yes,Friday,Very Convenient,Less than 1 hour,Once,NA,10,4,2,5,0,Way too hot,Strongly disagree,2,6,No,Yes,6,4,6,8,No,No,NA,NA
Bendigo,No,Monday,Indifferent,Less than 10 minutes,Once,No,0,5,7,9,7,Way too hot,Strongly disagree,0,6,No,Yes,8,2,1,7,Yes,Yes,Kaylee Carter,Kaylee.Carter@msn.com
Sorrento,No,Friday,Convenient,More than 1 hour,More than 6 times,NA,3,1,10,6,10,A little cool,Strongly agree,0,10,Yes,No,NA,NA,NA,3,No,Yes,Ella Gray,Ella.Gray@live.com.au
Eastlands,No,Saturday,Indifferent,Less than 1 hour,4-6 times,NA,10,10,5,6,4,Way too hot,Disagree,3,2,Yes,Yes,5,0,0,10,Yes,Yes,Nora Morales,Nora.Morales@outlook.com
Knox,Yes,Wednesday,Very Inconvenient,Less than 30 minutes,2-3 times,Yes,0,10,8,10,9,A little warm,Agree,8,7,No,No,NA,NA,NA,10,Yes,No,NA,NA
Jam Factory,No,Sunday,Very Convenient,Less than 30 minutes,2-3 times,Yes,7,4,4,6,3,Way too cold,Strongly agree,5,1,No,No,NA,NA,NA,6,Yes,Yes,Julian Ryan,Julian.Ryan@bigpond.com
Warnambool,Yes,Monday,Very Inconvenient,More than 1 hour,4-6 times,NA,10,2,3,6,6,A little cool,Disagree,5,8,No,Yes,8,1,6,1,Yes,No,NA,NA
Plenty Valley,No,Sunday,Very Convenient,Less than 10 minutes,2-3 times,Yes,10,9,1,6,8,Just right,Agree,10,8,No,No,NA,NA,NA,2,Yes,No,NA,NA
Eastlands,No,Monday,Inconvient,Less than 10 minutes,More than 6 times,NA,8,10,1,5,4,Way too cold,Agree,2,3,No,No,NA,NA,NA,5,No,No,NA,NA
Century City,Yes,Wednesday,Inconvient,Less than 1 hour,2-3 times,Yes,3,1,8,1,9,A little cool,Agree,2,9,No,No,NA,NA,NA,6,No,Yes,Isaiah Wilson,Isaiah.Wilson@optusnet.com.au
Sunshine,No,Wednesday,Very Convenient,Less than 30 minutes,More than 6 times,No,7,6,10,5,9,Way too cold,Strongly disagree,8,4,Yes,Yes,3,8,3,5,Yes,Yes,Penelope Murphy,Penelope.Murphy@outlook.com
Jam Factory,Yes,Friday,Inconvient,Less than 30 minutes,2-3 times,Yes,0,7,8,9,10,Way too hot,Disagree,4,10,Yes,Yes,7,5,2,0,Yes,No,NA,NA
Century City,Yes,Wednesday,Indifferent,More than 1 hour,More than 6 times,No,6,1,5,5,0,Way too hot,Neither agree nor disagree,1,0,No,No,NA,NA,NA,4,No,Yes,Hannah Walker,Hannah.Walker@bigpond.com
Warnambool,Yes,Sunday,Very Convenient,Less than 30 minutes,4-6 times,NA,9,6,2,0,0,A little cool,Strongly disagree,4,0,Yes,No,NA,NA,NA,10,No,Yes,Evelyn Walker,Evelyn.Walker@msn.com
Rivoli,No,Thursday,Very Inconvenient,Less than 30 minutes,4-6 times,Yes,0,0,7,8,7,Way too cold,Disagree,10,10,Yes,No,NA,NA,NA,0,Yes,Yes,Avery Lopez,Avery.Lopez@yahoo.com.au
Sorrento,Yes,Friday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,10,3,10,9,4,Just right,Agree,8,8,Yes,Yes,3,0,7,5,No,Yes,James Taylor,James.Taylor@bigpond.com
Werribee,Yes,Monday,Inconvient,Less than 10 minutes,More than 6 times,Yes,10,1,0,0,1,Way too hot,Neither agree nor disagree,2,2,Yes,No,NA,NA,NA,8,No,Yes,Benjamin Allen,Benjamin.Allen@optusnet.com.au
Karingal,Yes,Thursday,Indifferent,Less than 30 minutes,Once,Yes,2,9,6,9,7,Way too hot,Disagree,2,10,Yes,No,NA,NA,NA,0,No,No,NA,NA
Morwell,No,Tuesday,Very Convenient,Less than 30 minutes,Once,NA,4,3,6,0,1,Way too hot,Disagree,7,1,Yes,No,NA,NA,NA,2,Yes,No,NA,NA
Werribee,Yes,Wednesday,Indifferent,More than 1 hour,2-3 times,Yes,1,4,3,7,4,A little warm,Neither agree nor disagree,0,7,No,No,NA,NA,NA,2,No,No,NA,NA
Eastlands,No,Tuesday,Indifferent,Less than 10 minutes,Once,NA,1,2,7,4,5,Way too hot,Strongly agree,1,1,No,No,NA,NA,NA,7,No,Yes,Oliver Brown,Oliver.Brown@bigpond.com
Rosebud,No,Tuesday,Very Convenient,Less than 10 minutes,Once,NA,4,10,4,6,9,Just right,Strongly disagree,4,5,No,No,NA,NA,NA,1,No,No,NA,NA
Eastlands,No,Friday,Indifferent,Less than 10 minutes,2-3 times,NA,6,0,9,1,3,A little cool,Strongly disagree,0,4,No,No,NA,NA,NA,1,No,No,NA,NA
Plenty Valley,No,Tuesday,Inconvient,Less than 1 hour,More than 6 times,Yes,8,6,0,2,1,A little warm,Neither agree nor disagree,10,6,Yes,Yes,1,2,5,9,No,No,NA,NA
Rosebud,No,Saturday,Indifferent,More than 1 hour,4-6 times,NA,5,10,9,0,8,A little warm,Strongly disagree,4,0,Yes,Yes,5,9,0,3,Yes,No,NA,NA
Eastlands,No,Wednesday,Very Convenient,Less than 1 hour,More than 6 times,NA,2,9,6,3,7,Way too hot,Strongly agree,9,8,Yes,Yes,1,7,1,9,Yes,No,NA,NA
Coburg Drive-In,Yes,Tuesday,Indifferent,Less than 10 minutes,More than 6 times,NA,10,0,5,0,4,A little warm,Agree,8,9,No,No,NA,NA,NA,2,No,No,NA,NA
Doncaster,No,Friday,Very Convenient,More than 1 hour,More than 6 times,Yes,6,2,5,5,3,Just right,Strongly agree,2,4,No,Yes,8,5,1,5,Yes,Yes,Sophia Hughes,Sophia.Hughes@bigpond.net.au
Albury,Yes,Monday,Indifferent,Less than 1 hour,4-6 times,No,6,5,4,7,10,Just right,Neither agree nor disagree,4,4,Yes,Yes,9,9,0,8,Yes,Yes,Luna Torres,Luna.Torres@bigpond.net.au
Morwell,Yes,Monday,Inconvient,Less than 10 minutes,4-6 times,NA,0,4,7,9,10,A little cool,Strongly disagree,7,5,Yes,No,NA,NA,NA,3,No,Yes,Elizabeth James,Elizabeth.James@hotmail.com
Karingal,Yes,Thursday,Very Inconvenient,Less than 1 hour,Once,No,2,8,2,4,5,A little warm,Disagree,7,3,Yes,No,NA,NA,NA,10,No,No,NA,NA
Sorrento,Yes,Saturday,Convenient,Less than 1 hour,4-6 times,NA,0,10,10,2,2,Way too hot,Disagree,7,4,No,No,NA,NA,NA,5,No,Yes,Evelyn Watson,Evelyn.Watson@bigpond.com
Glenorchy,No,Tuesday,Convenient,Less than 10 minutes,2-3 times,NA,1,5,0,0,0,Just right,Neither agree nor disagree,7,10,No,Yes,9,5,10,3,Yes,No,NA,NA
Century City,Yes,Tuesday,Inconvient,More than 1 hour,More than 6 times,No,0,7,10,3,1,Just right,Strongly agree,4,8,No,No,NA,NA,NA,4,No,No,NA,NA
